regname;regcode;year;month;count_0;count_4;min_0;min_4;max_0;max_4;mean_0;mean_4;sum_0;sum_4;nodata_0;nodata_4;median_0;median_4;std_0;std_4;percentile_90_0;percentile_90_4
 Cantemir;MDA.8_1;2022;2;7092;7092;0;0;148.0;113.0;0.7886350817822899;13.526.508.742.244.700;5593.0;9593.0;0;0;0;0;4.810.013.818.771.480;4.470.606.833.549.050;0;5.0
 Cantemir;MDA.8_1;2022;3;7092;7092;0;0;161.0;119.0;0.8212069937958263;11.355.047.941.342.300;5824.0;8053.0;0;0;0;0;4.924.690.754.577.340;4.887.752.744.200.840;0;5.0
 Cantemir;MDA.8_1;2022;4;7092;7092;0;0;146.0;118.0;0.9362662154540327;2.009.024.252.679.070;6640.0;14248.0;0;0;0;0;5.297.750.274.490.720;52.958.100.269.978.900;0;6.0
 Cantemir;MDA.8_1;2022;5;7092;7092;0;0;174.0;111.0;10.620.417.371.686.400;1.986.040.609.137.050;7532.0;14085.0;0;0;0;0;549.994.490.096.543;5.322.451.064.918.530;0;6.0
 Cantemir;MDA.8_1;2022;6;7092;7092;0;0;153.0;111.0;10.909.475.465.313.000;17.194.021.432.600.100;7737.0;12194.0;0;0;0;0;53.241.558.468.149.800;5.030.779.630.653.750;0;6.0
 Cantemir;MDA.8_1;2022;7;7092;7092;0;0;122.0;90.0;0.9217428087986463;12.397.067.117.879.300;6537.0;8792.0;0;0;0;0;452.890.022.960.836;4.463.054.114.509.610;0;5.0
 Cantemir;MDA.8_1;2022;8;7092;7092;0;0;124.0;101.0;10.466.723.068.245.900;19.767.343.485.617.500;7423.0;14019.0;0;0;0;0;409.674.928.335.864;39.967.760.761.332.800;5.0;6.0
 Cantemir;MDA.8_1;2022;9;7092;7092;0;0;104.0;87.0;0.7078398195149465;14.359.842.075.578.100;5020.0;10184.0;0;0;0;0;35.852.097.181.831.800;3.638.988.303.865.110;0;6.0
 Cantemir;MDA.8_1;2022;10;7092;7092;0;0;73.0;56.0;0.618020304568528;0.8453186689227299;4383.0;5995.0;0;0;0;0;3.074.883.629.534.150;2.965.188.955.434.050;0;5.0
 Cantemir;MDA.8_1;2022;11;7092;7092;0;0;50.0;52.0;0.3877608573040045;0.8013254371122391;2750.0;5683.0;0;0;0;0;22.787.196.228.030.500;2.584.856.205.816.980;0;5.0
 Cantemir;MDA.8_1;2022;12;7092;7092;0;0;46.0;74.0;0.3523688663282572;2.694.867.456.288.770;2499.0;19112.0;0;0;0;0;226.583.636.016.217;395.864.288.887.382;0;6.0
